repo,file,decl,method,n,metric,model,annotation,syntax_search,mathlib_search,examples,og_correct,og_errors,og_score,new_correct,new_errors,new_score,delta,og_raw,new_raw,time
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"theorem mul_sub_algebraMap_commutes [Ring A] [Algebra R A] (x : A) (r : R) :
    x * (x - algebraMap R A r) = (x - algebraMap R A r) * x ",prompt_flat,5,READABILITY,gpt-4o,True,False,False,4,True,,0.8350000000000001,True,,0.46652439024390246,-0.44128815539652405,"theorem mul_sub_algebraMap_commutes [Ring A] [Algebra R A] (x : A) (r : R) :
    x * (x - algebraMap R A r) = (x - algebraMap R A r) * x := by rw [mul_sub, ← commutes, sub_mul]","

theorem mul_sub_algebraMap_commutes [Ring A] [Algebra R A] (x : A) (r : R) :
    x * (x - algebraMap R A r) = (x - algebraMap R A r) * x  := by
  intros
  rw [mul_sub, ← Algebra.commutes, sub_mul]
",7.282026052474976
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"theorem mul_sub_algebraMap_commutes [Ring A] [Algebra R A] (x : A) (r : R) :
    x * (x - algebraMap R A r) = (x - algebraMap R A r) * x ",best_of_n,5,READABILITY,gpt-4o,True,False,False,4,True,,0.8350000000000001,True,,0.6821929824561404,-0.18300241622019128,"theorem mul_sub_algebraMap_commutes [Ring A] [Algebra R A] (x : A) (r : R) :
    x * (x - algebraMap R A r) = (x - algebraMap R A r) * x := by rw [mul_sub, ← commutes, sub_mul]","

theorem mul_sub_algebraMap_commutes [Ring A] [Algebra R A] (x : A) (r : R) :
    x * (x - algebraMap R A r) = (x - algebraMap R A r) * x  := by
  theorem mul_sub_algebraMap_commutes [Ring A] [Algebra R A] (x : A) (r : R) :
      x * (x - algebraMap R A r) = (x - algebraMap R A r) * x := by
    rw [mul_sub, ← commutes, sub_mul]
",47.20999097824097
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"theorem mul_sub_algebraMap_pow_commutes [Ring A] [Algebra R A] (x : A) (r : R) (n : ℕ) :
    x * (x - algebraMap R A r) ^ n = (x - algebraMap R A r) ^ n * x ",prompt_flat,5,READABILITY,gpt-4o,True,False,False,4,True,,0.4024603174603174,True,,0.3474603174603174,-0.1366594360086768,"theorem mul_sub_algebraMap_pow_commutes [Ring A] [Algebra R A] (x : A) (r : R) (n : ℕ) :
    x * (x - algebraMap R A r) ^ n = (x - algebraMap R A r) ^ n * x := by
  induction' n with n ih
  · simp
  · rw [pow_succ', ← mul_assoc, mul_sub_algebraMap_commutes, mul_assoc, ih, ← mul_assoc]","

theorem mul_sub_algebraMap_pow_commutes [Ring A] [Algebra R A] (x : A) (r : R) (n : ℕ) :
    x * (x - algebraMap R A r) ^ n = (x - algebraMap R A r) ^ n * x  := by
  induction' n with n ih
  simp
  rw [pow_succ', ← mul_assoc, mul_sub_algebraMap_commutes, mul_assoc, ih, ← mul_assoc]
",7.393564939498901
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"theorem mul_sub_algebraMap_pow_commutes [Ring A] [Algebra R A] (x : A) (r : R) (n : ℕ) :
    x * (x - algebraMap R A r) ^ n = (x - algebraMap R A r) ^ n * x ",best_of_n,5,READABILITY,gpt-4o,True,False,False,4,True,,0.4024603174603174,True,,0.42386363636363633,0.05318119072802573,"theorem mul_sub_algebraMap_pow_commutes [Ring A] [Algebra R A] (x : A) (r : R) (n : ℕ) :
    x * (x - algebraMap R A r) ^ n = (x - algebraMap R A r) ^ n * x := by
  induction' n with n ih
  · simp
  · rw [pow_succ', ← mul_assoc, mul_sub_algebraMap_commutes, mul_assoc, ih, ← mul_assoc]","

theorem mul_sub_algebraMap_pow_commutes [Ring A] [Algebra R A] (x : A) (r : R) (n : ℕ) :
    x * (x - algebraMap R A r) ^ n = (x - algebraMap R A r) ^ n * x  := by
  induction n with
    | zero => simp
    | succ n ih =>
      rw [pow_succ', ← mul_assoc, mul_sub_algebraMap_commutes, mul_assoc, ih, ← mul_assoc]
",47.91535830497742
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"/-- A `Semiring` that is an `Algebra` over a commutative ring carries a natural `Ring` structure.
See note [reducible non-instances]. -/
abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A ",prompt_flat,5,READABILITY,gpt-4o,True,False,False,4,True,,0.45018292682926836,False,"unexpected token '/--'; expected term
	at: 

/-- 
unexpected token '/--'; expected '{' or tactic
	at: 
  /-- 
'Algebra.semiringToRing' has already been declared
	at:   abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A :=",,,"/-- A `Semiring` that is an `Algebra` over a commutative ring carries a natural `Ring` structure.
See note [reducible non-instances]. -/
abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A :=
  { __ := (inferInstance : Semiring A)
    __ := Module.addCommMonoidToAddCommGroup R
    intCast := fun z => algebraMap R A z
    intCast_ofNat := fun z => by simp only [Int.cast_natCast, map_natCast]
    intCast_negSucc := fun z => by simp }","

/-- A `Semiring` that is an `Algebra` over a commutative ring carries a natural `Ring` structure.
See note [reducible non-instances]. -/
abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A  := by
  /-- A `Semiring` that is an `Algebra` over a commutative ring carries a natural `Ring` structure.
  See note [reducible non-instances]. -/
  abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A :=
  {
    __ := (inferInstance : Semiring A),
    __ := Module.addCommMonoidToAddCommGroup R,
    intCast := fun z => algebraMap R A z,
    intCast_ofNat := fun z => by simp only [Int.cast_natCast, map_natCast],
    intCast_negSucc := fun z => by simp
  }
",10.041072130203247
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"/-- A `Semiring` that is an `Algebra` over a commutative ring carries a natural `Ring` structure.
See note [reducible non-instances]. -/
abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A ",best_of_n,5,READABILITY,gpt-4o,True,False,False,4,True,,0.45018292682926836,False,"unexpected token '/--'; expected term
	at: 

/-- 
unexpected token '/--'; expected '{' or tactic
	at: 
  /-- 
'Algebra.semiringToRing' has already been declared
	at:   abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A :=",,,"/-- A `Semiring` that is an `Algebra` over a commutative ring carries a natural `Ring` structure.
See note [reducible non-instances]. -/
abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A :=
  { __ := (inferInstance : Semiring A)
    __ := Module.addCommMonoidToAddCommGroup R
    intCast := fun z => algebraMap R A z
    intCast_ofNat := fun z => by simp only [Int.cast_natCast, map_natCast]
    intCast_negSucc := fun z => by simp }","

/-- A `Semiring` that is an `Algebra` over a commutative ring carries a natural `Ring` structure.
See note [reducible non-instances]. -/
abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A  := by
  /-- A `Semiring` that is an `Algebra` over a commutative ring carries a natural `Ring` structure.
  See note [reducible non-instances]. -/
  abbrev semiringToRing [Semiring A] [Algebra R A] : Ring A :=
  {
    toSemiring := inferInstance
    toAddCommGroup := Module.addCommMonoidToAddCommGroup R
    intCast := fun z => algebraMap R A z
    intCast_ofNat := fun z => by
      simp only [Int.cast_natCast, map_natCast]
    intCast_negSucc := fun z => by
      simp
  }
",42.794212102890015
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"theorem End_algebraMap_isUnit_inv_apply_eq_iff {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    (↑(h.unit⁻¹) : Module.End S M) m = m' ↔ m = x • m' ",prompt_flat,5,READABILITY,gpt-4o,True,False,False,4,True,,0.42190476190476195,False,"unexpected token 'theorem'; expected term
	at: 

theorem 
unexpected token 'theorem'; expected '{' or tactic
	at: 
  theorem 
unexpected token ','; expected ':='
	at:           erw [End_isUnit_apply_inv_apply_of_isUnit],",,,"theorem End_algebraMap_isUnit_inv_apply_eq_iff {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    (↑(h.unit⁻¹) : Module.End S M) m = m' ↔ m = x • m' :=
  { mp := fun H => ((congr_arg h.unit H).symm.trans (End_isUnit_apply_inv_apply_of_isUnit h _)).symm
    mpr := fun H =>
      H.symm ▸ by
        apply_fun ⇑h.unit.val using ((Module.End_isUnit_iff _).mp h).injective
        erw [End_isUnit_apply_inv_apply_of_isUnit]
        rfl }","

theorem End_algebraMap_isUnit_inv_apply_eq_iff {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    (↑(h.unit⁻¹) : Module.End S M) m = m' ↔ m = x • m'  := by
  theorem End_algebraMap_isUnit_inv_apply_eq_iff {x : R}
      (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
      (↑(h.unit⁻¹) : Module.End S M) m = m' ↔ m = x • m' :=
    {
      mp := fun H =>
        (congr_arg h.unit H).symm.trans (End_isUnit_apply_inv_apply_of_isUnit h _).symm,
      mpr := fun H =>
        H.symm ▸ by
          apply_fun ⇑h.unit.val using ((Module.End_isUnit_iff _).mp h).injective,
          erw [End_isUnit_apply_inv_apply_of_isUnit],
          rfl
    }
",11.909373044967651
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"theorem End_algebraMap_isUnit_inv_apply_eq_iff {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    (↑(h.unit⁻¹) : Module.End S M) m = m' ↔ m = x • m' ",best_of_n,5,READABILITY,gpt-4o,True,False,False,4,True,,0.42190476190476195,False,"unexpected token 'theorem'; expected term
	at: 

theorem 
unexpected token 'theorem'; expected '{' or tactic
	at: 
  theorem 
unexpected token ','; expected ':='
	at:           erw [End_isUnit_apply_inv_apply_of_isUnit],",,,"theorem End_algebraMap_isUnit_inv_apply_eq_iff {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    (↑(h.unit⁻¹) : Module.End S M) m = m' ↔ m = x • m' :=
  { mp := fun H => ((congr_arg h.unit H).symm.trans (End_isUnit_apply_inv_apply_of_isUnit h _)).symm
    mpr := fun H =>
      H.symm ▸ by
        apply_fun ⇑h.unit.val using ((Module.End_isUnit_iff _).mp h).injective
        erw [End_isUnit_apply_inv_apply_of_isUnit]
        rfl }","

theorem End_algebraMap_isUnit_inv_apply_eq_iff {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    (↑(h.unit⁻¹) : Module.End S M) m = m' ↔ m = x • m'  := by
  theorem End_algebraMap_isUnit_inv_apply_eq_iff {x : R}
      (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
      (↑(h.unit⁻¹) : Module.End S M) m = m' ↔ m = x • m' :=
    { mp := fun H =>
        ((congr_arg h.unit H).symm.trans (End_isUnit_apply_inv_apply_of_isUnit h _)).symm,
      mpr := fun H =>
        H.symm ▸ by
          apply_fun ⇑h.unit.val using ((Module.End_isUnit_iff _).mp h).injective,
          erw [End_isUnit_apply_inv_apply_of_isUnit],
          rfl }
",60.572246074676514
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"theorem End_algebraMap_isUnit_inv_apply_eq_iff' {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    m' = (↑h.unit⁻¹ : Module.End S M) m ↔ m = x • m' ",prompt_flat,5,READABILITY,gpt-4o,True,False,False,4,True,,0.4105701754385965,False,"unexpected token 'theorem'; expected term
	at: 

theorem 
'Module.End_algebraMap_isUnit_inv_apply_eq_iff'' has already been declared
	at: theorem End_algebraMap_isUnit_inv_apply_eq_iff' {x : R}
unexpected token ','; expected command
	at:    },",,,"theorem End_algebraMap_isUnit_inv_apply_eq_iff' {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    m' = (↑h.unit⁻¹ : Module.End S M) m ↔ m = x • m' :=
  { mp := fun H => ((congr_arg h.unit H).trans (End_isUnit_apply_inv_apply_of_isUnit h _)).symm
    mpr := fun H =>
      H.symm ▸ by
        apply_fun (↑h.unit : M → M) using ((Module.End_isUnit_iff _).mp h).injective
        erw [End_isUnit_apply_inv_apply_of_isUnit]
        rfl }","

theorem End_algebraMap_isUnit_inv_apply_eq_iff' {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    m' = (↑h.unit⁻¹ : Module.End S M) m ↔ m = x • m'  := by
  intros
  split
   {
     intro H
     apply (congr_arg h.unit H).trans
     apply (End_isUnit_apply_inv_apply_of_isUnit h _).symm
   },
   {
     intro H
     rw [H.symm]
     apply_fun (↑h.unit : M → M) using ((Module.End_isUnit_iff _).mp h).injective
     erw [End_isUnit_apply_inv_apply_of_isUnit]
     rfl
   }
",9.266400814056396
mathlib,Mathlib/Algebra/Algebra/Basic.lean,"theorem End_algebraMap_isUnit_inv_apply_eq_iff' {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    m' = (↑h.unit⁻¹ : Module.End S M) m ↔ m = x • m' ",best_of_n,5,READABILITY,gpt-4o,True,False,False,4,True,,0.4105701754385965,False,"unexpected token 'theorem'; expected term
	at: 

theorem 
unexpected token 'theorem'; expected '{' or tactic
	at: 
  theorem 
unexpected token ','; expected ':='
	at:           erw [End_isUnit_apply_inv_apply_of_isUnit],",,,"theorem End_algebraMap_isUnit_inv_apply_eq_iff' {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    m' = (↑h.unit⁻¹ : Module.End S M) m ↔ m = x • m' :=
  { mp := fun H => ((congr_arg h.unit H).trans (End_isUnit_apply_inv_apply_of_isUnit h _)).symm
    mpr := fun H =>
      H.symm ▸ by
        apply_fun (↑h.unit : M → M) using ((Module.End_isUnit_iff _).mp h).injective
        erw [End_isUnit_apply_inv_apply_of_isUnit]
        rfl }","

theorem End_algebraMap_isUnit_inv_apply_eq_iff' {x : R}
    (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    m' = (↑h.unit⁻¹ : Module.End S M) m ↔ m = x • m'  := by
  theorem End_algebraMap_isUnit_inv_apply_eq_iff' {x : R} (h : IsUnit (algebraMap R (Module.End S M) x)) (m m' : M) :
    m' = (↑h.unit⁻¹ : Module.End S M) m ↔ m = x • m' := 
    {
      mp := fun H =>
        (congr_arg h.unit H).trans (End_isUnit_apply_inv_apply_of_isUnit h _).symm,
      mpr := fun H =>
        H.symm ▸ by
          apply_fun (↑h.unit : M → M) using ((Module.End_isUnit_iff _).mp h).injective,
          erw [End_isUnit_apply_inv_apply_of_isUnit],
          rfl
    }
",54.816617012023926
